,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,9943,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19277293.0,19277293.0,,1,,,,2023-01-30T18:25:00.000Z,23156.549154600005,27261860058.074856,16.449,-0.11374735,-1.81411012,0.15060846,39.62573151,36.53591,13.28040487,446395582922.1266,42.4834,486287532246.6,,2023-01-30T18:25:00.000Z,,,,,,2023-01-30 18:26:36.562010
1,1027,Ethereum,ETH,ethereum,6387,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem']",,122373866.2178,122373866.2178,,2,,,,2023-01-30T18:25:00.000Z,1582.107276038848,9426819526.418709,27.567,-0.20368608,-2.10758293,-3.09469836,31.78333815,24.00446545,0.15224127,193608584140.18597,18.4329,193608584140.19,,2023-01-30T18:25:00.000Z,,,,,,2023-01-30 18:26:36.562010
2,825,Tether,USDT,tether,46551,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,67776034767.77134,73141766321.23428,,3,,,,2023-01-30T18:25:00.000Z,1.0000690173155375,36439075278.2808,23.2075,-0.00062217,-0.01248022,-0.00393715,0.03856822,0.0017325,0.01597447,67780712487.74879,6.4532,73146814369.6,,2023-01-30T18:25:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-01-30 18:26:36.562010
3,1839,BNB,BNB,bnb,1170,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain']",200000000.0,157901829.20468464,159979963.59042934,,4,,,,2023-01-30T18:25:00.000Z,309.1620111282488,618258632.0680541,0.7301,-0.18694945,-2.74214584,1.0945271,25.349408,5.82311871,-4.62180755,48817247077.74956,4.6463,61832402225.65,,2023-01-30T18:25:00.000Z,,,,,,2023-01-30 18:26:36.562010
4,3408,USD Coin,USDC,usd-coin,9721,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,42876219139.07411,42876219139.07411,,5,,,,2023-01-30T18:25:00.000Z,0.9999786424347509,3379236136.249225,19.2906,0.00692434,-0.00482448,-0.0153826,-0.00901081,-0.00153963,-0.00014339,42875303407.426216,4.0808,42875303407.43,,2023-01-30T18:25:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-01-30 18:26:36.562010
5,52,XRP,XRP,xrp,880,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,50803611248.0,99989140193.0,,6,,,,2023-01-30T18:25:00.000Z,0.40120399142901403,1124078458.51413,131.2072,0.2222359,-3.02563187,-5.45614802,17.19948963,1.03389608,-13.30503615,20382611611.70555,1.94,40120399142.9,,2023-01-30T18:25:00.000Z,,,,,,2023-01-30 18:26:36.562010
6,4687,Binance USD,BUSD,binance-usd,6090,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'usd-stablecoin']",,15376003522.273376,15376003522.273376,,7,,,,2023-01-30T18:25:00.000Z,1.0004669590075685,10350673545.921154,19.5072,0.02256986,0.05371968,-0.01928552,0.00252301,0.08235508,0.01030799,15383183485.618507,1.4641,15383183485.62,,2023-01-30T18:25:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2023-01-30 18:26:36.562010
7,2010,Cardano,ADA,cardano,639,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano']",45000000000.0,34593679000.386,35413306355.498,,8,,,,2023-01-30T18:25:00.000Z,0.38067882198773023,382608010.8298417,39.2077,-0.17268876,-2.86923404,0.62353504,53.41983419,20.40985144,-5.69135095,13169080970.088625,1.2534,17130546989.45,,2023-01-30T18:25:00.000Z,,,,,,2023-01-30 18:26:36.562010
8,74,Dogecoin,DOGE,dogecoin,637,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,9,,,,2023-01-30T18:25:00.000Z,0.08841842887858059,714597184.8921186,79.5104,-3.68485583,-1.22598559,-0.64508033,26.01628939,-13.35425134,-36.70411026,11730540537.517115,1.1165,11730540537.52,,2023-01-30T18:25:00.000Z,,,,,,2023-01-30 18:26:36.562010
9,3890,Polygon,MATIC,polygon,576,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem']",10000000000.0,8734317475.28493,10000000000.0,,10,,,,2023-01-30T18:25:00.000Z,1.1169191672027963,536726173.7253871,-11.2928,-0.20760896,-4.70342464,11.71434056,46.5768951,21.00928416,26.88864485,9755526600.580072,0.9285,11169191672.03,,2023-01-30T18:25:00.000Z,,,,,,2023-01-30 18:26:36.562010
